ID,SERVICE,FROM,AUTHOR,DESCRIPTION,DATE ENCODED,DATE ACCOMPLISHED,STATUS,ATTENDED BY,DELSTAT
120,SYSTMUNIT,college library,mera,check and repairof avr,06-26-2010 12:45AM,,waiting,,0
121,NTWRK,college guidance,jeo,transfer internet wire from counseling room to the next connecting office,06-25-2010 03:06PM,,waiting,,1
122,RSRVTION,hazel jumawan,rain,grade school annex:7:40 - 12:00 & 01:00pm - 04:00pm,06-25-2010 09:16PM,,waiting,,0
123,PHNCALL,,,,06-30-2010 11:12AM,,waiting,,1
124,NTWRK,aldrin dais,rain,transfer ces phone to new office(former rpo) & put up internet connection,06-30-2010 11:15AM,,waiting,,0
125,SYSTMUNIT,gs guidance,lemuel,reformat repair and update,07-01-2010 05:21AM,,waiting,,0
126,NTWRK,ssu - shs,rain,installation of computer internet connection,07-01-2010 08:30AM,,waiting,,0
127,NTWRK,presidents office,rain,wifi unit for the board room,07-04-2010 05:32AM,,waiting,,0
128,SYSTMUNIT,christian lloyd espinoza/external affairs,rain,digital telephone,07-04-2010 05:51AM,,waiting,,0
129,NTWRK,ssu(ibed-shs),jessa,installation of internet connection(psychometrician unit),07-04-2010 11:54PM,,waiting,,0
130,SYSTMUNIT,ibed-psychometrician,jessa, request for new hard drive for the pc,07-05-2010 12:07AM,,waiting,,0
131,RSRVTION,jhs,ken diapues,genyo lab2:07/26/17 10:00-11:00am 07/27/17 3:00-4:00pm 07/28/17 10:50-11:45am & 1:45-2:40pm 07/31/17 2:00-3:00pm & 3:00-4:00pm,07-22-2017 09:24AM,08-23-2017 01:58AM,done,Ken,0
132,SYSTMUNIT,clinic/ssu,jessa,computer set,07-24-2017 10:29AM,08-23-2017 02:00AM,done,Rain,0
133,PRNTR,bookstore,john paul,request for check up/repair of bookstore printer.,07-24-2017 01:48PM,,waiting,,0
134,SYSTMUNIT,college secretary,rain,request to check the computer units if it is working or not,07-27-2017 01:17PM,,waiting,,0
135,NTWRK,gs ibed,rain,request for the cctv viewing of the grade school ground floor with the time span of 8:30 - 10:00am (urgent please),07-27-2017 01:22PM,,waiting,,0
136,RSRVTION,shd,rain,genyo lab. 1:08/05/17 9:00am - 11:20am and 4:00pm - 6:20pm (saturday),07-27-2017 01:24PM,08-23-2017 01:57AM,done,Ken,0
137,NTWRK,jhs library,lemuel,installation of tel. internet and wifi,07-28-2017 05:35PM,,waiting,,0
138,NTWRK,ibed/gs,ken diapues,install,08-01-2017 02:05PM,,waiting,,0
139,SYSTMUNIT,dean ,jeo,check up (no power) and printer sharing,08-11-2017 11:46PM,08-24-2017 01:41PM,done,rain,0
140,SYSTMUNIT,college library,lemuel,check and repair,08-24-2017 10:42AM,08-24-2017 03:10PM,done,rain & JEO,0
141,RSRVTION,shsd,rain,genyo lab:8/26/17,08-26-2017 07:04AM,09-01-2017 06:30PM,done,Rain,0
142,RSRVTION,ibed,rain,"genyo lab:spet. 4-7, 2017",09-02-2017 01:03AM,,waiting,,0
143,SYSTMUNIT,shs sac,rain,request for reformat of the computer to be used by the sac (evening) of shs,09-04-2017 04:14PM,,waiting,,0
144,NTWRK,finance office,rain,request for internet connection (sa computer),09-04-2017 04:16PM,,waiting,,0
145,RSRVTION,shsfaculty,,netlab:09-07-17 @7:50am-12:10pm & 3:10pm-4:10pm,09-06-2017 01:37PM,,waiting,,0
146,SYSTMUNIT,registrar department,lanver,"request  to check our units , 2 units of system unit and monitor if it is possible to use or repair",09-11-2017 12:19PM,,waiting,,0
147,RSRVTION,college dept.,lanver,computer lab w/ internet connection (15 units w/ internet connection) :september 21-22 2017 / @7-8pm,09-11-2017 02:01PM,,waiting,,0
148,RSRVTION,c,c,c:c,09-11-2017 09:19PM,,waiting,,1
